Aircraft_ID,Registration,Type,Operator,Date,Start_Time,End_Time,Duration_Min,Start_Lat,Start_Lon,End_Lat,End_Lon,Status,start_city,start_country,end_city,end_country
4.71e+28,HA-LKW,FA8X,,2024-01-05,09:33:02,18:18:28,525.4,-4.680565,55.530781,47.44383,19.22861,Landed,,Seychelle-szigetek,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-15,08:14:15,10:28:50,134.6,47.436859,19.239944,51.331616,0.032921,Landed,Budapest,Magyarország,London,Egyesült Királyság
4.71e+28,HA-LKW,FA8X,,2024-01-16,08:04:09,09:45:26,101.3,51.332565,0.033627,47.426966,19.287379,Landed,London,Egyesült Királyság,Ecser,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-18,06:42:08,07:39:17,57.2,47.43822,19.237694,42.695847,23.427377,Landed,Budapest,Magyarország,Szófia,Bulgária
4.71e+28,HA-LKW,FA8X,,2024-01-18,15:17:48,16:31:31,73.7,42.696735,23.413079,47.442375,19.23107,Landed,Szófia,Bulgária,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-19,06:38:04,07:36:48,58.7,47.443817,19.228683,44.50161,26.094573,Landed,Budapest,Magyarország,Bukarest,Románia
4.71e+28,HA-LKW,FA8X,,2024-01-19,16:11:00,17:11:41,60.7,44.502914,26.1009,47.435989,19.241335,Landed,Bukarest,Románia,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-22,14:34:44,15:57:49,83.1,47.437592,19.23864,47.457962,8.551449,Landed,Budapest,Magyarország,Kloten,Svájc
4.71e+28,HA-LKW,FA8X,,2024-01-22,16:51:51,17:12:33,20.7,47.457458,8.558075,47.672161,9.513714,Landed,Kloten,Svájc,Friedrichshafen,Németország
4.71e+28,HA-LKW,FA8X,,2024-01-23,10:16:56,10:36:43,19.8,47.671214,9.511273,47.475952,8.544497,Landed,Friedrichshafen,Németország,Oberglatt,Svájc
4.71e+28,HA-LKW,FA8X,,2024-01-23,13:34:45,14:47:28,72.7,47.469315,8.553474,47.435474,19.242159,Landed,Winkel,Svájc,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-24,09:44:25,11:32:00,107.6,47.438828,19.236717,46.217632,7.321049,Landed,Budapest,Magyarország,Sion,Svájc
4.71e+28,HA-LKW,FA8X,,2024-01-24,12:16:11,13:29:11,73.0,46.215293,7.310371,47.443585,19.229067,Landed,Sion,Svájc,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-24,14:27:57,16:50:51,142.9,47.439697,19.235344,47.437374,19.239086,Landed,Budapest,Magyarország,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-27,08:25:15,10:03:48,1538.6,47.442782,19.23037,47.423904,19.260612,Landed,Budapest,Magyarország,Vecsés,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-29,11:17:49,12:14:27,56.6,47.448229,19.221497,45.699085,25.516005,Landed,Budapest,Magyarország,Vidombák,Románia
4.71e+28,HA-LKW,FA8X,,2024-01-29,13:36:56,14:22:59,46.1,45.697872,25.514742,47.423091,19.261921,Landed,Vidombák,Románia,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-01-30,06:43:17,10:29:51,226.6,47.437271,19.23912,47.45787,19.205818,Landed,Budapest,Magyarország,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-02-01,17:37:24,19:23:29,106.1,47.44519,19.226418,48.96653,2.473369,Landed,Budapest,Magyarország,Aulnay-sous-Bois,Franciaország
4.71e+28,HA-LKW,FA8X,,2024-02-01,19:24:48,10:08:54,3764.1,48.965321,2.451397,46.217446,7.322079,Landed,Gonesse,Franciaország,Sion,Svájc
4.71e+28,HA-LKW,FA8X,,2024-02-04,10:43:07,12:01:21,78.2,46.215432,7.309479,47.435623,19.241884,Landed,Sion,Svájc,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-02-04,15:09:46,13:09:31,1319.7,47.443817,19.228683,47.435474,19.242176,Landed,Budapest,Magyarország,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-02-06,15:00:11,21:20:31,3260.3,47.444275,19.227928,47.430097,19.282309,Landed,Budapest,Magyarország,Ecser,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-02-12,07:07:36,20:42:29,2254.9,47.437866,19.238297,47.435555,19.242056,Landed,Budapest,Magyarország,Budapest,Magyarország
4.71e+28,HA-LKW,FA8X,,2024-02-15,20:11:55,13:36:26,5364.5,47.438232,19.237747,-22.500858,-68.891754,Landed,,,Calama,Chile
4.71e+28,HA-LKW,FA8X,,2024-02-21,13:29:30,14:18:06,48.6,-28.086222,-70.377556,-34.909882,-71.163773,Landed,,,Curicó,Chile
4.71e+28,HA-LKW,FA8X,,2024-02-21,14:18:25,14:20:37,2.2,-34.957123,-71.175262,-35.249588,-71.246689,Landed,,,Río Claro,Chile
